Title,Lokasi,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Luas Tanah,Luas Bangunan,Car Port,Price,Timestamp
Dekat Akses Transportasi,Makassar,4,4,219,180,2,2700000000,2025-05-15 14:02:19.633771
Dekat Akses Transportasi,Makassar,4,4,219,180,2,2700000000,2025-05-15 14:02:19.634127
Bebas Banjir,Makassar,4,4,219,180,0,2700000000,2025-05-15 14:02:19.635227
Dekat Sekolah,Makassar,4,4,198,162,2,3000000000,2025-05-15 14:02:19.635628
Dekat Akses Transportasi,Makassar,4,4,219,180,2,2700000000,2025-05-15 14:02:19.636036
Dijual Rumah Di Makassar 2 Lantai Di Perumahan Modern Estate,Makassar,3,2,50,55,2,776000000,2025-05-15 14:02:19.636378
Dijual Rumah 2 Lantai Lokasi Poros Hertasning Baru Cluster Cyoto,Makassar,2,2,40,40,1,631000000,2025-05-15 14:02:19.636714
Dijual Rumah 2 Lantai Di Makassar Bergaya Japandi Di Hertasning,Makassar,2,1,36,40,1,598000000,2025-05-15 14:02:19.637086
Dekat Akses Transportasi,Makassar,2,1,60,37,0,565000000,2025-05-15 14:02:19.637425
Dekat Tempat Ibadah,Makassar,4,3,96,80,0,1270000000,2025-05-15 14:02:19.637766
Dekat Akses Transportasi,Makassar,3,3,105,101,2,1630000000,2025-05-15 14:02:19.638141
Siap Huni,Makassar,4,4,180,203,2,3920000000,2025-05-15 14:02:19.638531
"Rumah Di Pusat Kota Makassar, Dekat Ke Mana-Mana.",Makassar,3,3,111,131,2,3110000000,2025-05-15 14:02:19.638913
"Rumah Mewah 2 Lantai, Pusat Kota Makassar",Makassar,3,3,105,139,2,3240000000,2025-05-15 14:02:19.639264
Rumah Cantik Pusat Bisnis Belanja Makassar Fasilitas Lengkap,Makassar,3,3,91,84,2,1200000000,2025-05-15 14:02:19.639595
Siap Huni,Makassar,4,4,192,180,2,3000000000,2025-05-15 14:02:19.639970
Jual Rumah Citraland Celebes Makassar Jl Hertasning Baru Full Bangunan,Makassar,5,3,128,240,1,2500000000,2025-05-15 14:02:19.640247
Jual Rumah Talasalapang 1 Mangasa Permai Dkt Alauddin Dan Pettarani,Makassar,2,1,120,70,1,850000000,2025-05-15 14:02:19.640540
Dekat Sekolah,Makassar,5,5,108,203,0,3920000000,2025-05-15 14:02:19.640920
Dekat Akses Transportasi,Makassar,3,2,64,55,2,777000000,2025-05-15 14:02:19.641277
Siap Huni,Makassar,4,4,203,180,2,3900000000,2025-05-15 14:02:21.933695
Siap Huni,Makassar,4,4,219,180,2,3000000000,2025-05-15 14:02:21.934072
Dekat Akses Transportasi,Makassar,3,2,64,55,2,777000000,2025-05-15 14:02:21.934422
Siap Huni,Makassar,4,4,192,180,2,3000000000,2025-05-15 14:02:21.934773
Dekat Akses Transportasi,Makassar,1,1,107,36,0,300000000,2025-05-15 14:02:21.935097
Siap Huni,Makassar,3,2,64,55,2,777000000,2025-05-15 14:02:21.935446
Siap Huni,Makassar,2,1,90,48,1,465000000,2025-05-15 14:02:21.935782
Siap Huni,Makassar,3,2,89,77,2,1430000000,2025-05-15 14:02:21.936111
Siap Huni,Makassar,3,2,67,60,2,778000000,2025-05-15 14:02:21.936420
Siap Huni,Makassar,4,4,198,162,0,3000000000,2025-05-15 14:02:21.937039
Siap Huni,Makassar,3,2,67,60,0,778000000,2025-05-15 14:02:21.937355
Siap Huni,Makassar,4,4,219,180,0,2700000000,2025-05-15 14:02:21.937672
Siap Huni,Makassar,3,2,64,55,0,755000000,2025-05-15 14:02:21.938002
Dekat Fasilitas Kesehatan,Makassar,4,3,91,95,0,900000000,2025-05-15 14:02:21.938295
Dekat Akses Transportasi,Makassar,2,1,60,37,1,554000000,2025-05-15 14:02:21.938591
Dekat Pusat Perbelanjaan,Makassar,7,7,346,500,0,16000000000,2025-05-15 14:02:21.938899
"Dijual Rumah Cantik 2 Lt Perum Raflexia ,tabjung Bunga Lt.8x18m2 Harga2,5m Nego",Makassar,3,2,144,125,0,2500000000,2025-05-15 14:02:21.939145
Siap Huni,Makassar,9,3,400,360,3,11000000000,2025-05-15 14:02:24.248357
Siap Huni,Makassar,2,1,81,47,1,720000000,2025-05-15 14:02:24.248656
Dekat Pusat Perbelanjaan,Makassar,4,3,144,210,0,3800000000,2025-05-15 14:02:24.249229
Dekat Sekolah,Makassar,4,3,234,222,1,3680000000,2025-05-15 14:02:24.249523
Dekat Sekolah,Makassar,4,3,162,198,1,2850000000,2025-05-15 14:02:24.249829
Bebas Banjir,Makassar,3,3,120,149,1,2310000000,2025-05-15 14:02:24.250143
Bebas Banjir,Makassar,4,3,135,148,1,2420000000,2025-05-15 14:02:24.250463
Siap Huni,Makassar,2,1,120,70,1,1480000000,2025-05-15 14:02:24.250781
Rumah Luas Dan Murah di Jln Monginsidi Kota Makassar,Makassar,5,5,800,500,0,25000000000,2025-05-15 14:02:24.251026
Bebas Banjir,Makassar,2,1,81,34,0,500000000,2025-05-15 14:02:24.251321
Bebas Banjir,Makassar,10,6,702,1404,1,14000000000,2025-05-15 14:02:24.251634
Rumah Jalan Andi Tonro Makassar,Makassar,5,3,150,150,0,950000000,2025-05-15 14:02:24.251927
Rumah Cantik 1 lantai,Makassar,4,4,312,240,0,4500000000,2025-05-15 14:02:24.252211
Dekat Fasilitas Kesehatan,Makassar,2,1,78,48,0,550000000,2025-05-15 14:02:24.252499
"Rumah Jl. Kalumpang 337 M2 Bentuk L 6KT 6KM,3 Lantai",Makassar,6,6,337,700,0,3000000000,2025-05-15 14:02:26.575633
Perumahan Yayasan Pegawai Kantor Gubernur  Paccerakkang Daya Makassar 8X15 Kmr Tdr 2 Kmr Mandi  2 WC T72 +Perabotan,Makassar,2,1,120,72,0,1000000000,2025-05-15 14:02:26.575993
Siap Huni,Makassar,5,2,144,144,0,1200000000,2025-05-15 14:02:26.576589
Siap Huni,Makassar,5,5,210,250,1,4200000000,2025-05-15 14:02:26.576912
Full Furnished,Makassar,4,5,169,144,0,4099999999,2025-05-15 14:02:26.577233
Dekat Akses Transportasi,Makassar,2,1,40,60,1,399000000,2025-05-15 14:02:26.577556
Bebas Banjir,Makassar,2,1,40,72,1,399000000,2025-05-15 14:02:26.577875
Dijual Rumah Cantik di Grand City Veteran Selatan,Makassar,6,5,200,600,1,8000000000,2025-05-15 14:02:26.578467
Rumah Shm Jl.kenanga Gowa,Makassar,1,1,195,120,1,700000000,2025-05-15 14:02:26.578721
Dekat Fasilitas Kesehatan,Makassar,3,2,100,170,0,1000000000,2025-05-15 14:02:26.578971
Subsidi,Makassar,3,2,91,50,1,550000000,2025-05-15 14:02:26.579283
Rumah Dijual Di Jl Mappanyukki (depan Hotel Melia) Makassar,Makassar,10,10,1250,1200,0,30000000000,2025-05-15 14:02:26.579572
Siap Huni,Makassar,3,2,72,216,0,1100000000,2025-05-15 14:02:26.579908
Rumah di Bukit Baruga Makasar,Makassar,6,2,600,400,0,6680000000,2025-05-15 14:02:26.580200
Rumah di Bukit Baruga Makasar,Makassar,6,2,600,400,0,6680000000,2025-05-15 14:02:26.580490
Bebas Banjir,Makassar,3,2,84,68,2,800000000,2025-05-15 14:02:26.580793
Rumah Jual Tengah Kota Jl Balana Makassar 2 Lantai Bagus Shm,Makassar,5,2,163,163,1,2000000000,2025-05-15 14:02:26.581109
Dekat Sekolah,Makassar,4,4,120,120,1,1600000000,2025-05-15 14:02:28.894679
Subsidi,Makassar,3,1,78,45,1,595000000,2025-05-15 14:02:28.895046
"Turun Harga Dijual Ruko Gagak 2 Unit Uk. 8 M X 23 M, 3,5 Lantai + Rooftopfasilitas Property :kt : 8. Km : 6 + 2 Bathtub Lt : 184 Lb : 428 Legalitas : Shm, Ac, Pam, Pln 2 X 10.000 Jalan Utama Rp. 5,9 M",Makassar,8,8,184,428,0,5300000000,2025-05-15 14:02:28.895378
Dekat Pusat Perbelanjaan,Makassar,4,3,90,120,0,1800000000,2025-05-15 14:02:28.895704
RUMAH GREEN DUMAIS VILLAGE BONTOTANGNGA PACINONGAN GOWA,Makassar,2,1,96,72,0,575000000,2025-05-15 14:02:28.896403
Siap Huni,Makassar,3,2,90,69,2,1540000000,2025-05-15 14:02:28.896895
Siap Huni,Makassar,2,1,39,107,1,828000000,2025-05-15 14:02:28.897254
Rumah 2 Lantai Baru Konsep Rumah Jepang,Makassar,4,3,240,312,2,4000000000,2025-05-15 14:02:28.897602
Jual Lelang Rumah Strategis Di Makassar Rumah,Makassar,5,4,105,160,1,1300000000,2025-05-15 14:02:28.897923
Siap Huni,Makassar,2,1,72,42,1,315000000,2025-05-15 14:02:28.898245
Siap Huni,Makassar,2,1,84,60,1,280000000,2025-05-15 14:02:28.898532
Rumah Murah Wilayah Makassar,Makassar,4,3,111,111,1,1370000000,2025-05-15 14:02:28.898847
Siap Huni,Makassar,2,3,90,90,1,950000000,2025-05-15 14:02:28.900257
Dekat Sekolah,Makassar,4,3,120,120,2,4000000000,2025-05-15 14:02:28.900578
Bebas Banjir,Makassar,4,3,150,164,1,3000000000,2025-05-15 14:02:28.900885
Siap Huni,Makassar,2,2,90,60,1,1500000000,2025-05-15 14:02:28.901207
Dekat Pusat Perbelanjaan,Makassar,4,3,8,15,2,1800000000,2025-05-15 14:02:31.213490
RUMAH EX PONDOK ISTANA MAKASAR,Makassar,9,4,375,200,0,3800000000,2025-05-15 14:02:31.213787
Dekat Tempat Ibadah,Makassar,2,2,150,65,1,1000000000,2025-05-15 14:02:31.214082
Siap Huni,Makassar,3,2,87,143,1,2500000000,2025-05-15 14:02:31.214355
Jual Rumah 3 Lt Di Tengah2 Kota,Makassar,5,5,254,476,2,3500000000,2025-05-15 14:02:31.214606
Dekat Tempat Ibadah,Makassar,5,5,252,235,2,4890000000,2025-05-15 14:02:31.214900
Dekat Tempat Ibadah,Makassar,5,5,180,203,2,3920000000,2025-05-15 14:02:31.215198
Dijual Rumah Baru Harga Terjangkau Di Makassar,Makassar,2,1,105,105,0,750000000,2025-05-15 14:02:31.215449
Rumah Mewah Konsep Bali Di Makassar,Makassar,4,4,162,158,2,3280000000,2025-05-15 14:02:31.215783
Rumah Elegant 2 Lantai Desain American Classic Di Makassar,Makassar,3,2,70,70,1,800000000,2025-05-15 14:02:31.216345
Bebas Banjir,Makassar,4,3,72,82,2,998000000,2025-05-15 14:02:31.216657
Dekat Sekolah,Makassar,4,3,240,261,2,6330000000,2025-05-15 14:02:31.216967
KPR,Makassar,3,3,105,90,2,1860000000,2025-05-15 14:02:31.217257
Bebas Banjir,Makassar,2,1,40,72,0,399000000,2025-05-15 14:02:31.217537
Dekat Akses Transportasi,Makassar,2,1,72,40,1,399000000,2025-05-15 14:02:31.217824
Subsidi,Makassar,3,3,120,91,0,1480000000,2025-05-15 14:02:31.218113
Rumah Tua Di Kota,Makassar,9,3,288,288,0,1300000000,2025-05-15 14:02:31.218396
Bebas Banjir,Makassar,2,2,40,40,1,427000000,2025-05-15 14:02:33.517705
Siap Huni,Makassar,3,3,120,140,1,1700000000,2025-05-15 14:02:33.518256
Rumah Sudut Taman Toraja Tanjung Bunga Dekat Dian Harapan,Makassar,2,1,108,45,1,600000000,2025-05-15 14:02:33.518522
Dekat Tempat Wisata,Makassar,1,2,165,100,1,1650000000,2025-05-15 14:02:33.518845
Dijual Rumah Mewah 2 Lantai Murah Aman Dan Nyaman,Makassar,9,7,560,284,0,3900000000,2025-05-15 14:02:33.519142
Siap Huni,Makassar,3,2,225,180,0,3750000000,2025-05-15 14:02:33.519725
RUMAH JALAN GAGAK,Makassar,6,2,166,117,0,4099999999,2025-05-15 14:02:33.520048
Siap Huni,Makassar,3,2,67,60,0,787000000,2025-05-15 14:02:33.520347
Siap Huni,Makassar,3,1,96,49,0,880000000,2025-05-15 14:02:33.520658
Siap Huni,Makassar,4,3,72,82,2,988000000,2025-05-15 14:02:33.520965
Dekat Akses Transportasi,Makassar,4,4,219,180,3,2700000000,2025-05-15 14:02:33.521268
Jual Rumah 2 Lt Type Blossom Tanjung Bunga,Makassar,3,2,190,125,1,2200000000,2025-05-15 14:02:33.521520
Jual Rumah 2 Lt Amarilys Tanjung Bunga 8x16m2,Makassar,3,2,135,105,2,1800000000,2025-05-15 14:02:33.521775
Dekat Sekolah,Makassar,3,3,120,120,0,1920000000,2025-05-15 14:02:33.522292
Dekat Sekolah,Makassar,3,2,55,64,0,800000000,2025-05-15 14:02:33.522984
Full Furnished,Makassar,14,16,600,1500,0,18000000000,2025-05-15 14:02:35.982269
Siap Huni,Makassar,2,1,84,40,1,525000000,2025-05-15 14:02:35.982593
Rumah Mewah Murah 2 Lantai Tengah Kota,Makassar,4,4,145,165,2,4500000000,2025-05-15 14:02:35.982910
Siap Huni,Makassar,3,3,90,120,2,1500000000,2025-05-15 14:02:35.983226
Dekat Sekolah,Makassar,11,5,150,330,0,2000000000,2025-05-15 14:02:35.983545
Subsidi,Makassar,3,3,98,78,2,658000000,2025-05-15 14:02:35.983886
Dekat Akses Transportasi,Makassar,3,2,144,162,1,2500000000,2025-05-15 14:02:35.984218
Dekat Akses Transportasi,Makassar,3,2,60,67,1,749000000,2025-05-15 14:02:35.984528
Dekat Sekolah,Makassar,4,3,162,198,1,2850000000,2025-05-15 14:02:35.984852
Dekat Pusat Perbelanjaan,Makassar,5,3,220,200,0,3250000000,2025-05-15 14:02:35.985173
Siap Huni,Makassar,4,3,220,440,2,2000000000,2025-05-15 14:02:35.985468
Bebas Banjir,Makassar,2,2,90,61,1,1240000000,2025-05-15 14:02:35.985809
Bebas Banjir,Makassar,3,3,109,107,1,1910000000,2025-05-15 14:02:35.986161
Bebas Banjir,Makassar,3,2,105,90,1,1490000000,2025-05-15 14:02:35.986503
Dekat Sekolah,Makassar,4,4,162,198,1,2850000000,2025-05-15 14:02:35.986839
Siap Huni,Makassar,2,1,66,36,1,772000000,2025-05-15 14:02:35.987174
Bebas Banjir,Makassar,3,3,120,120,1,2100000000,2025-05-15 14:02:35.987508
Dekat Sekolah,Makassar,4,5,240,230,2,5040000000,2025-05-15 14:02:35.987838
Bebas Banjir,Makassar,2,1,96,102,1,650000000,2025-05-15 14:02:38.286538
Bebas Banjir,Makassar,2,2,300,300,1,850000000,2025-05-15 14:02:38.286904
Rumah  Samata Makassar,Makassar,2,1,96,36,1,350000000,2025-05-15 14:02:38.287243
Dekat Sekolah,Makassar,3,2,102,190,1,1500000000,2025-05-15 14:02:38.287579
Rumah Rafflesia,Makassar,4,2,162,188,1,3000000000,2025-05-15 14:02:38.287921
Dekat Sekolah,Makassar,5,4,360,700,0,4500000000,2025-05-15 14:02:38.288247
Dekat Pusat Perbelanjaan,Makassar,5,4,250,450,0,7000000000,2025-05-15 14:02:38.288584
Bebas Banjir,Makassar,5,3,265,400,0,950000000,2025-05-15 14:02:38.288935
"Rmh Royal Spring, Jl. Aeroepala LT 144 8x18, LB 114  2 lantai, 4 KT, 3 KM Rumah Baru",Makassar,4,3,144,114,0,1400000000,2025-05-15 14:02:38.289252
"Rmh Di Jalan. Beruang Makassar Sulawesi Selatan 6kmr Tdr 5 Kmr Mnd Rumah 2 Lt, Ukuran Lebar Dpn 16 Lebar Belakang 17,besar Belakang, Panjang 15",Makassar,6,5,240,400,0,4500000000,2025-05-15 14:02:38.289573
Dekat Pusat Perbelanjaan,Makassar,4,2,144,112,0,2400000000,2025-05-15 14:02:38.289919
Dekat Sekolah,Makassar,4,4,1225,500,0,45000000000,2025-05-15 14:02:38.290250
Rumah Singa Makassar Shm 11x 32 M,Makassar,4,4,325,1000,0,6700000,2025-05-15 14:02:38.290820
Siap Huni,Makassar,3,2,98,77,1,1700,2025-05-15 14:02:38.291156
Full Furnished,Makassar,5,5,180,234,1,2400000,2025-05-15 14:02:38.291499
Dekat Sekolah,Makassar,3,4,112,172,2,1200000,2025-05-15 14:02:38.291834
